"Menurut Anda, apakah adanya disrupsi membuat profesi akuntansi akan tergeser peranannya oleh robotic dan kecerdasan buatan dalam rentan waktu beberapa tahun kedepan?",Compound_Score,Sentiments
"No, as long as the accounting profession is accompanied by supporting competencies in supporting its work activities",0.7003,Positif
"No, because so far the accountant is still in the safe stage and will not be replaced",0.4404,Positif
"No, because decision making in accounting cannot be replaced by AI",0.0,Netral
it could be,0.0,Netral
Can,0.0,Netral
Of,0.0,Netral
I'm not sure I'll need it later,-0.2411,Negatif
"Maybe not now, but yes in the next 10 years.",-0.438,Negatif
can.,0.0,Netral
"If we as accountants cannot control these 3 things, then the role of the accounting profession could be shifted.",0.0,Netral
"Yes, but not as fast as expected. Adjustments and steps taken to shift changes to AI certainly require large costs as well.",0.765,Positif
No,-0.296,Negatif
"Yes, because the role of robots can dominate the accounting profession in the world along with the sophistication of technology",0.296,Positif
It could be,0.0,Netral
No because the accounting profession should be aware of the latest developments in technology and be able to adopt those technologies to improve overall performance,0.34,Positif
I think it will be like that,0.3612,Positif
can,0.0,Netral
"it could be, but there is still an accounting profession because it cannot only use robotics or AI",0.0,Netral
"The accounting profession will adjust to the changes, not shifted. Decisions that can only be made by humans will later become the key to the resilience of the accounting profession, such as out-of-the-box thinking, critical thinking, or solving risks that are experienced for the first time.",-0.25,Negatif
I think it will most likely happen because it is seen from the development of the times that are increasingly sophisticated and we as humans are required to keep up so that we don't get left behind.,0.5574,Positif
Maybe it will be shifted if the meaning is roughly. Then additional skills are needed that can compete with digital technology. Digital also won't move if it's not operated by humans,0.0,Netral
"I don't think so, on the one hand, in terms of technology or science that is made, of course there are weak points that definitely need to be upgraded in every problem, so here the accounting profession is sometimes still needed considering that technology will not always run perfectly in the future",-0.471,Negatif
"It can be shifted, but not completely",0.0,Netral
"maybe not, because I'm sure that no matter how good artificial intelligence is, there will definitely be downsides too, because those who make it are humans too.",0.7693,Positif
The next 5-6 years,0.0,Netral
There is a possibility yes because with the existence of artificial intelligence it can affect everything. And replaced with the robotic technology,0.7003,Positif
Their role cannot be replaced by computers and other information technologies.,0.0,Netral
"Yes, but not all of them may be partly and will also reduce interest in accounting",0.705,Positif
Maybe in about 5 years.,0.0,Netral
not because this profession really needs people in it,0.0,Netral
maybe 70% yeah,0.296,Positif
Maybe its role will be shifted because the technology is getting more sophisticated and good for human use,0.7939,Positif
"In my opinion, the accounting profession will be replaced by robotics and artificial intelligence. This can also result in unemployment experienced by an accountant himself because it has been replaced by existing technology.",0.0516,Positif
"it depends on the human being, if we want to try hard and develop in doing the job then we will not be replaced by the technology, but we only use the technology as a work support tool, and not depend on the technology.",0.5423,Positif
"the accounting profession will not be replaced by robotic roles, but artificial intelligence will help make it easier for the accounting profession to work, however, the accounting profession will definitely still need human labor.",0.9428,Positif
"Yes, because in the next few years there will be many changes",0.4019,Positif
"Yes, because the next few years will have an impact",0.4019,Positif
"I don't think so, because after all, the world still needs the accounting profession",0.0,Netral
"Yes, because the more advanced the era, the applications made by humans will also be more sophisticated.",0.8354,Positif
"technological disruptions, including artificial intelligence and robotics, have affected many industries, including accounting. Despite developments in the automation of accounting processes and the use of artificial intelligence in some routine tasks, the role of the accountant is still very important and is unlikely to be completely replaced in the next few years.",0.6478,Positif
"Yes, because the development of the era will make the role of the accounting profession increasingly shifted by robotics",0.4019,Positif
"It won't,,, because we don't know what the future will be like,, and whether robots will continue to develop or the accounting profession will continue to develop as usual, and as an accounting profession, we also have to understand more about new things that are developing so that we won't be defeated by machine",0.6192,Positif
"yes, current accounting also uses the system. There are several accounting applications that facilitate calculations.",0.4019,Positif
"No, because for the future we don't know the development",0.0,Netral
"The existence of technological disruption in the accounting profession can indeed change the roles and tasks carried out by accounting professionals. However, it is difficult to predict exactly how far this shift will occur in the next few years",-0.6124,Negatif
I think the accounting profession will be shifted because it is more effective and efficient to use robotics. And the manual accounting profession is no longer used.,0.6436,Positif
Most likely,0.0,Netral
"Yes, because humans and robotics and artificial intelligence are different, the power and energy are different, humans need food to carry out activities.",0.7845,Positif
"Probably not, because we don't know what will happen in the future, who knows the accounting profession can prevent disruption",-0.34,Negatif
"Yes, because following developments",0.4019,Positif
"Broadly speaking, the accounting profession is quite difficult to be replaced by robots. In this case, it is very important to assist the development of Human Resources (HR) in dealing with the development of increasingly sophisticated digital technology today.",0.4404,Positif
I think the accounting profession will not be replaced by robotics and others,0.0,Netral
It's not that easy for accountants to be replaced by robots. in this case it may be very important in helping HR in dealing with increasingly sophisticated digital technology,0.6957,Positif
Applications are man-made whose function is to facilitate human work.,0.0,Netral
"Not really, if the people themselves are still capable and true"" a high level of professionalism will definitely still be needed. Because the HR aspect in the future also needs to be maintained so that the economic order can remain stable",0.8519,Positif
Can,0.0,Netral
"Yes, as said at the beginning because time is used more effectively so that it will be shifted by the role of robotics and artificial intelligence",0.8399,Positif
"This might happen because of the development of technology, all human activities will be replaced by robots/machines. But be positive about the changes that occur, don't view change as a threat, but as an opportunity. Because this will grow business opportunities that did not exist before.",0.8126,Positif
may be,0.0,Netral
Can,0.0,Netral
It could be,0.0,Netral
Maybe,0.0,Netral
It could be,0.0,Netral
Can,0.0,Netral
"In my opinion, with an application or system that can help accountants in their management, the field of accounting itself still needs human resources because for the control process, relevance, and checking whether it is correct or not. In the span of the coming year, the role of the accountant in the accounting profession will not be shifted, instead the HR itself must be smart in keeping abreast of science and technology developments, as well as honing accounting skills with new technology.",0.7579,Positif
"No, because only a few accounting functions will use robotic technology, while there are many functions of the accounting profession.",0.0,Netral
"Yes, but accounting knowledge is still very much needed today",0.2144,Positif
"Will be replaced because accounting may be fooled by robots that use algorithms in the next five years. However, accounting needs to adapt to Society 5.0 and expand its competencies to remain relevant in the future. Accountants must also be aware of technological developments and use them to facilitate their work.",-0.0772,Negatif
Not really because there could be an error,-0.4019,Negatif
It could be,0.0,Netral
No,-0.296,Negatif
It will shift. Overseas alone more use of robotic technology. An example in Indonesia is the Pocari Sweet factory where they use or use robotic technology.,0.25,Positif
"Yes, because this artificial technology can make accounting workers lose their jobs because of robotic tools",0.0,Netral
No,-0.296,Negatif
"Of course yes, because over time, data processing, preparation of financial reports, input can be done by artificial intelligence (AI) quickly and accurately. However, this shift is not complete, because there are still aspects that require an accountant, such as strategic decision making, critical thinking skills, interaction with clients, and understanding of the business context.",0.5423,Positif
Can,0.0,Netral
Maybe,0.0,Netral
agree,0.3612,Positif
Positive,0.5574,Positif
"Yes, of course it will shift but will not eliminate the accounting profession itself",0.2144,Positif
"As I explained in the fourth question, it depends on us how we develop knowledge in application in the field of accounting",0.0,Netral
Negative,-0.5719,Negatif
"In my opinion, yes, but for the audit, I think it can last longer",0.2144,Positif
"Positive, because to be able to process financial data requires an accountant",0.5574,Positif
"Yes, in my opinion, there is no shift in the role and that is robotics, we need to learn both of them so that their knowledge will increase",0.4215,Positif
Ia,0.0,Netral
"It could be, but as I previously wrote, if humans are able to keep up and keep learning, humans will not be easily displaced.",-0.3724,Negatif
"Yes, because technological advances will continue to make work easier, human resources will only be the driving force of technological progress.",0.8074,Positif
"No, but if the role of robotics continues to be developed, it could have a negative impact on shifting the accounting profession and causing a lot of criminalization because it cannot compete in this era.",-0.7227,Negatif
"Yes, in the next few years the role of humans will be replaced by robots",0.4019,Positif
"The accounting profession will indeed be replaced by robots. However, accountant is a broad profession. There are things that robots can't replace of course. For example, when it comes to calculating quickly or easily presenting numbers, robots are indeed better. But the robot has no interaction, cannot provide opinions outside the patterns that have been determined by the robot programmer. So, the accounting profession will lose to robots if we are pitted against it in terms of arithmetic. By strengthening analysis, especially from various perspectives, accountants can have a competitive advantage over robots.",0.7615,Positif
The next ten years,0.0,Netral
The accounting profession is considered to still exist today. Etc,0.0,Netral
"Artificial intelligence or Artificial Intelligence (AI) has replaced several job positions in various industries, such as manufacturing, retail, customer service, to agriculture. AI which will continue to develop to become more sophisticated one day will force workers in certain professions to start switching to find career choices that are in line with technological developments.
AI and other emerging technologies will not completely replace these professionals as human intelligence will still be needed for consulting, data analysis and strategic thinking. The important thing to remember is that the application of AI technology can solve inefficiency problems, and can allow accountants to do more creative work and bring greater added value to the company. Simply put, AI is designed to enhance the capabilities of accountants, not to replace them.",0.9725,Positif
Yes there is,0.4019,Positif
"Yes, it will be shifted",0.4019,Positif
"In my opinion, no",-0.296,Negatif
"the accounting profession is quite difficult to be replaced by robots. In this case, it is very important to assist the development of Human Resources (HR) in dealing with the development of increasingly sophisticated digital technology today.",0.4404,Positif
Very helpful for the future,0.4754,Positif
"In my opinion, disruption can shift the role of the accounting profession to robotics and artificial intelligence, because with this technology a company no longer needs accountants, because they can input their own data.",-0.1531,Negatif
Of,0.0,Netral
"However, we need to keep in mind that even though these technologies can perform routine and repetitive tasks quickly and efficiently, strategic decisions are still a human task. Accounting professionals are still needed to perform data analysis, answer company inquiries, and make important decisions.

In short, although the role of accountants may be changing in this digital age, they will still have an important role to play in business and industry. Their expertise and knowledge cannot be completely replaced by technology.",0.6908,Positif
"yes, its role will be shifted and replaced by robotic technology",0.4019,Positif
the accounting profession is quite difficult to be replaced by robots.,-0.4201,Negatif
"In my opinion, the disruption in accounting will place the role of robotics and artificial intelligence in a more significant context in the future. The use of technology in the accounting profession has experienced a rapid increase in recent years and this trend is expected to continue.",0.6115,Positif
"It could or maybe could happen, but it takes about 10-20 years.",0.0,Netral
Technological developments cause changes in professions and jobs in many fields.,0.0,Netral
"The main reason is related to the development of information technology, robots, computerization, and other automation. The information is reported and published by The Guardian, World Economic Forum, McKinsey Global",0.0,Netral
"Because robots are still needed, they still need the accounting profession",0.0,Netral
"In recent years, various media have presented information about professions and jobs where humans have a diminishing role.",0.0,Netral
Can,0.0,Netral
I think of course it will be shifted,0.0,Netral
Four years,0.0,Netral
Is the accounting profession going to die out? Will the Accounting Profession Be Replaced by Artificial Intelligence?,-0.2869,Negatif
"Yes, there must be quite a shift in the accounting profession. Due to robotic technology, artificial intelligence basically works efficiently with lower TK as well as effective workmanship. But not all will be shifted.",0.6956,Positif
No,-0.296,Negatif
"Yes, it's true because with this progress, the accounting profession's human resources will be very rarely needed",0.8294,Positif
I don't think so,0.0,Netral
Yes agreed,0.5859,Positif
"In my personal opinion, accounting services will continue to exist as long as the parties concerned take advantage of this technology, if you do it manually, it will be affected by the convenience of this technology.",0.4767,Positif
"In my opinion, disruption will not shift the role of the accounting profession, in fact, the role of humans or an accounting profession is very important in this regard. The role of humans in this disruption process is as the main control in creating intelligence according to what is desired. Programs and technology are only intermediaries for the profession to be able to complete work and assignments so that they are more effective and efficient and remain at their Professional Standards.",0.8616,Positif
"It could be, because with the role of society 5.0 it really supports rapid advancements in technology even though there are many accounting professions who are reliable in their fields",0.4201,Positif
"For example, as an accountant, the accountant will be able to play a more strategic role, although some of his functions will be replaced by machines. The role of the accountant will expand.

Accountants may no longer rely solely on their ability to count and prepare financial reports. However, they must also be able to use AI technology and integrate it into efficient financial processes, as well as generate strategic information.",0.8271,Positif
"work that is repetitive, mechanistic, predictable, and not complex has been and will be replaced by the role of machines, computers, and robots. Some of the work of accountants attached to these characteristics has been replaced by machines and computers. However, the development of principle-based accounting standards (IFRS) opens up space for human judgment. Likewise for in the context of auditing. Even machines, computers or robots that have used artificial intelligence will not be able to do as good a job as a professional accountant.",0.6124,Positif
No,-0.296,Negatif
right,0.0,Netral
No,-0.296,Negatif
"true, in practice maybe yes, but conceptually and mindset, systems or technology still require decision making. and that is only done by the results of the human mindset to decide on an option. then the high level of one's expertise will prevent us (accounting and auditor profession) from technological disruption.",-0.09,Negatif
