"Menurut Anda, bagaimana pendapat anda tentang society 5.0 yang merupakan era munculnya big data, robotic dan kecerdasan buatan?",Compound_Score,Sentiments
"Of course, there are positive and negative sides, namely that it can help with some jobs, but the negative side is that literacy among the 5.0 is decreasing because it has raced on AI, robotics, and artificial intelligence.",-0.0258,Negatif
"According to me, with the 5.0 era, there are certainly positive and negative sides. The positive side is that everything we want to do is made easy. Meanwhile, the negative is that professions or jobs will be threatened by the presence of 5.0",0.34,Positif
"I think the emergence of this technology makes it very easy for someone to complete work, as well as being a challenge for humans to be able to compete with that technology",0.6801,Positif
"In my opinion, this really helps humans in solving problems in all areas of life, but it can also have a negative impact in the form of many professions being replaced by AI.",-0.6432,Negatif
"In my opinion, this makes it easier for us to carry out activities that may take a long time, but can be trimmed with big data, etc",0.2263,Positif
Society 5.0 is a technological update that is increasingly sophisticated as its output is in the form of artificial intelligence which has recently become an interesting issue in the field of technology.,0.8555,Positif
"In my opinion, this is a good technological development because, to be honest, I feel helped in carrying out my daily life and made it easier",0.8402,Positif
"In my opinion, this is good progress because the era is modern, which of course will definitely focus in the future on developments + developments that are even better. Because it is impossible every year without any changes.",0.8834,Positif
"Pretty good too, but we will replace the negatives. so it's useless to learn accounting hehehe. but on the other hand AI also has a big influence on global progress",0.7865,Positif
"With the advancement of society 5.0 technology, it can make it easier for humans to live their daily lives, especially in the field of work. Humans can more simply carry out their work, without having to spend extra energy.",0.5994,Positif
"Society 5.0 is an era that can affect all fields, from engineering to servants, which will later have an impact on shifting certain positions.",0.2732,Positif
"In my opinion, the era of the emergence of artificial intelligence by this technology is already good. This facilitates the activities of daily life by the whole community, using the latest technology.",0.7184,Positif
"The emergence of data bugs, robotics, and artificial intelligence provides convenience and also poses a threat if we cannot keep up with existing developments",-0.0772,Negatif
"Actually the emergence of the era of big data, robotics, and artificial intelligence is a good progress in this modern era, but the emergence of this can threaten several professions such as accountants in the future which have the potential to be replaced by AI.",0.128,Positif
"As an advancement in the world of AI, it is hoped that it can maximize current human activities without reducing the credibility of the humans themselves",0.3818,Positif
"in my opinion, this is a creative innovation that is used to facilitate human work in meeting the needs of everyday life.",0.6705,Positif
"Society 5.0 makes many things easier such as facilitating transactions, payments, can improve the digital economy, and many other things.",0.6908,Positif
"I think that's fine as long as it facilitates human activities, but on the other hand it doesn't harm the continuity of the profession with human workers.",0.8582,Positif
"The emergence of the era of big data and artificial intelligence can actually facilitate all the activities that I do, for example, I use a lot of artificial intelligence for accounting learning media.",0.7351,Positif
"I think Society 5.0 is an interesting concept that involves leveraging technologies such as big data, robotics and artificial intelligence to advance society. This era aims to create a knowledge-based, sustainable and inclusive society.",0.7845,Positif
"The emergence of big data, robotics and artificial intelligence is indeed enough to help humans in doing work, but this emergence also has an impact on human productivity itself.",0.4404,Positif
"With the emergence of big data, robotics and artificial intelligence, there are actually positive and negative impacts, so we must really be able to manage them properly so that in the future, existing human work cannot be replaced by the latest technology.",0.4588,Positif
According to me it has evolved far enough from the 4.0 era,0.0,Netral
Fast paced and more modern,0.0,Netral
"Like a double-edged knife, it can make the activities we do faster and easier and on the other hand it can destroy us because it kills our creativity.",0.4767,Positif
More modern and easier to find data,0.4703,Positif
Humans must be more dominant than robots,0.0,Netral
I think it's quite challenging because we as humans are required to be versatile so we don't lose competitiveness with these things.,0.5291,Positif
Good,0.4404,Positif
"In my opinion, the existence of society 5.0 with the emergence of the era of big data, robotics, and artificial intelligence makes Indonesian people and the world community restless, because many professional fields will be affected and replaced, in particular I feel uneasy about this because I think about the future for me.",-0.296,Negatif
"Good, because day by day we have to keep up with the times",0.4404,Positif
facilitate the user in doing the job,0.0,Netral
"In my opinion, the era of society 5.0 has both positive and negative impacts. the positive impact is giving all sectors effectiveness and efficiency in all operational processes, and the negative is that some professions will be replaced by existing technology.",0.5719,Positif
"SOS 5.0 is an era that can be said to support accountants but can also hinder accountants. From the human resource and employment perspective, this is clearly troubling and will narrow applications for accounting graduates",-0.09,Negatif
quite helpful,0.4754,Positif
"In my opinion, this era is good and overall positive, but after I think again, if indeed with this era, especially robotics, it minimizes human work so that the workforce is lacking, why do the majority of people think it is good. Because I think for myself after thinking about it, this is bad, hehe, Belibet moj, sorry😔🙏",0.3291,Positif
In my opinion it is very threatening to the accounting profession itself where this updated era will of course depend on robots and human activities will be replaced,-0.5709,Negatif
Society 5.0 really helps the accounting profession because it makes work easier and saves time.,0.6901,Positif
"I don't think it's a problem, because basically robotics and the like will help humans in carrying out their work",0.3612,Positif
"I myself am afraid because with the addition of electronic sophistication it makes robots, ai or something like that dominate humans",0.25,Positif
"In accounting we are taught big data as well. So if ero 5.0 is the era of big data, then it will be our era",0.2732,Positif
"The era of society 5.0 makes many activities easier to do. Although this sophistication can also reduce the number of professions that humans can do, it can also increase professions",0.6597,Positif
I think this is a threat to us as humans. Humans will lose their jobs when various technologies appear above,-0.7269,Negatif
"My opinion about society 5.0, namely the era of the emergence of big data, robotics and artificial intelligence is quite helpful in life, but it does not rule out the possibility that in the future all work done by humans will be replaced. But not everything is replaceable, even though all of that is there, everything still needs humans to run or think about what big data robotics and artificial intelligence are for.",0.8045,Positif
"In my opinion, the existence of society 5.0 helps facilitate human work, but for the record here, technology is only an aid to human activities, not a substitute.",0.2023,Positif
"the emergence of this will make it easier for us as an accountant profession, but we must maintain our intelligence so that we are not defeated by the system when using it",0.8549,Positif
I think this could be an opportunity for the accounting profession. So the accounting profession can be even wider by taking advantage of advances in big data and AI,0.5859,Positif
can make it easier for us to collect data,0.4215,Positif
I think it's good because it makes it easier for humans to meet their needs because it uses technology-based science,0.6908,Positif
"In my opinion, society 5.0 has started to explore the first steps to slightly erode the role of humans in it",0.0,Netral
"Fine, it's enough to help work, but don't let some of this technology eliminate the human profession at work",0.3071,Positif
It is a good thing to be able to keep up with the available technology,0.4404,Positif
"we have to be able to not be replaced by robotics, indeed robotics is very good for technological development, but if human labor is replaced by robotics then we as humans will lose jobs later",-0.3514,Negatif
"Bring positive and negative impact. Of course the positive impact of human activity becomes easier, practical, and simple. Negative impacts are definitely related to shifts in human existence and work or profession",0.6486,Positif
"With sophistication that has emerged, it will make it much easier to assist in our work so that it is faster, but with the emergence of society 5.0 it also emphasizes our skills regarding technology.",0.2263,Positif
"I myself am afraid because some of the things we do can be replaced by robots, ai",0.0,Netral
The emergence of society 5.0 will make various aspects of life change to machine assistance so that all activities are made easier.,0.4215,Positif
"This era has positively helped human life, but the fact that most of human work will be replaced by AI creates its own worries for human existence.",0.0387,Positif
"The emergence of these 3 things can certainly help us as humans who have limitations in thinking and limited in energy. However, it cannot be denied that these three things cause fear and worry because these 3 things are so dangerous if misused. In addition, the many issues that have arisen about most of the jobs will be replaced by AI and robots.",-0.5244,Negatif
"In my opinion, Society 5.0 has both positive and negative impacts but is not balanced. The emergence of AI, robotics and big data can actually help humans in completing large amounts of work easily and quickly. but along with the development of the times there is also a threat that human work will be taken by AI because AI can be paid cheaply and finish quickly",0.25,Positif
Very helpful in carrying out daily tasks so that time can be more efficient and work can be completed quickly,0.734,Positif
Excited but a little anxious,-0.0927,Negatif
very helpful,0.4754,Positif
Useful for helping humans in work,0.6249,Positif
I think Personally Helping Society Physically and Emotionally doesn't really help humans,-0.0708,Negatif
good for increasing efficiency and productivity in various sectors,0.6597,Positif
quite impressed and felt that the current era was very developed,0.5256,Positif
Pretty good in developing the efficiency and effectiveness of everyday life as human beings around the world in all aspects of life.,0.8225,Positif
"In my opinion, the existence of society 5.0 has a good impact on humans, namely making it easier for humans to do activities, but there is also a bad impact, namely human work will be replaced by a robotic system so that many people will lose their jobs.",-0.7543,Negatif
"Good as a support for the profession, but also as a threat if it cannot compete with digital capabilities",-0.4215,Negatif
very good for improving science and technology in Indonesia,0.7397,Positif
"In my opinion, the era of society 5.0 will be a very advanced era where all activities can be assisted by AI, robotics and big data to make it easier for fast-paced daily activities.",0.624,Positif
"very good for career support, to help us complete a task more effectively and efficiently",0.9294,Positif
"In my opinion, the existence of robotics and artificial intelligence can bring up negative and positive influences, the positive influence of robotics can lighten our work, but besides that, the presence of robotics will increase the number of unemployed because indirectly many human workers have been replaced by artificial workers.",0.6597,Positif
"In my opinion, the emergence of society 5.0 in the current era can have an impact on all fields of the profession",0.0,Netral
solutions to social problems and economic progress through integration systems between cyber and physical worlds.,0.2023,Positif
"In my opinion there is a negative impact there is a positive impact, the positive is that it makes it easier to carry out a job. And the negative is the possibility that some people will be replaced by IA",0.3818,Positif
"In my opinion, society 5.0 is a good breakthrough for the development of the times in accordance with the development of technology. Hopefully the emergence of the era of society 5.0 can bring good changes to society in all aspects.",0.8176,Positif
"In my opinion, with the existence of society 5.0, it can indeed facilitate all activities, but apart from that, it is necessary to bring back the old era so that it is not separated/forgotten",0.0,Netral
"good, because it can help make it easier for humans",0.8126,Positif
"In the era of society 5.0, with the advent of big data, robotics and artificial intelligence, it is easier for humans to carry out their daily activities with the help of robotics and artificial intelligence, making it easier for them to do it every day.",0.926,Positif
"In my opinion, the emergence of society 5.0 can have a huge impact on existing professional fields, because existing professions can be replaced with sophisticated technology that can cause unemployment.
But of course society 5.0 also has its own positive aspects.",0.7845,Positif
"I think it's good because it can help us do our work, but we also shouldn't be too dependent on this technology",0.4215,Positif
"society 5.0 has the advantage that it will make human life easier in the future, so in my opinion humans should also develop so that later they cannot be replaced by robots",0.5859,Positif
"In my opinion, it's good because it makes the job easier",0.6908,Positif
"pretty good, because it can make the job easier",0.836,Positif
I think it is quite helpful for us in doing the job,0.4754,Positif
"In my opinion, the existence of society 5.0 is a threat to all fields of the profession, many people will lose their jobs because many of their professions are replaced by robotics.",-0.7269,Negatif
"In my opinion, Society 5.0 is a concept introduced by the Japanese government that describes the vision of a future society that is integrated with technologies such as big data, robotics, and artificial intelligence (AI). In Society 5.0, the technology is expected to be used to improve people's quality of life, overcome social challenges, and achieve sustainability.",0.8074,Positif
"In my opinion, with the era of society 5.0, there will be more progress or more slavery in the field of accounting for the future",-0.4588,Negatif
"In my opinion, in the era of Society 5.0, a lot of human intelligence has been replaced by machines, but if we think broadly, even though humans will be replaced by machines, the role of humans is also very important because human resources will make these machines.",0.5704,Positif
"The emergence of society 5.0 in the current era of globalization will affect life and how the world works. The emergence of big data, robotics facilitate human performance. Safe, but it also threatens human workers who switch to using machines or robotics so that it can also reduce workers and increase unemployment. Humans are currently required to be able to keep up with the times and improve skills",0.128,Positif
"So the emergence of society 5.0 on big data, robotics and intelligence can increase efficiency and productivity",0.7845,Positif
"Overall, Society 5.0 promises major advances in various fields, from health, education, transportation, to energy. However, it is important to ensure that these technological developments are used for the good of humanity and provide equitable benefits to all of society.",0.9118,Positif
"In my opinion, with society 5.0 the advantage is that all work will be completed quickly.",0.25,Positif
"If everyone uses robotics, what impact will it have on an accountant, in my opinion, it should be fivety², an accountant must be involved, right?",0.0,Netral
My personal opinion agrees because it can balance economic progress and solving various problems,0.5106,Positif
"I think the emergence of big data, robotics and artificial intelligence will make someone lazy to think and do something",0.1531,Positif
"In my opinion, this technology has a positive impact depending on how individuals minimize the risks and opportunities that arise in society 5.0",0.6249,Positif
"With the existence of society 5.0, the world is growing and moving rapidly. Through data society 5.0 it is also hoped that it can increase the social and economic activities of the community. Society can balance between economic progress and solving human problems that are integrated with virtual and real worlds.",0.7964,Positif
The emergence of world society 5.0 will further develop and increase economic activity,0.3182,Positif
"With the development of Society 5.0, it is hoped that we as students in the future can improve our skills so we can balance",0.6705,Positif
I think the emergence of big data is good and the existence of robotics makes our lives easier and the discovery of artificial intelligence is important.,0.8625,Positif
Technology is getting more sophisticated so that it makes human work (activities) easier.,0.7713,Positif
"Some would consider this to be an achievement in terms of technological development, and I think it is. In my personal opinion, there are advantages and disadvantages of society 5.0 where the advantage is that it will make it easier for people to help with their life activities with digital intelligence. However, the disadvantage is that the role of humans will begin to be replaced with AI systems where this will have an impact on career difficulties",0.6597,Positif
Surely this will have positive and negative impacts. The positive impact is that society can balance economic progress and solving human problems that are integrated with virtual and real worlds. While the negative impact is to make people overly dependent on technology,0.6369,Positif
"In my opinion, the era of the emergence of big data, robotics and artificial intelligence will further speed up the work to be done. However, the resistance used on the robot can be troublesome in a short time. So it is less efficient when using the robotic.",0.3197,Positif
"With the emergence of big data, robotics and artificial intelligence will make human work lighter and more practical, but besides that it will narrow employment opportunities and even increase the unemployed population. Because the work that is usually done by humans is replaced by robots which are faster than humans.",0.8126,Positif
we have to improve ourselves more,0.4404,Positif
"This is an event that we cannot change, but we can follow",0.0,Netral
"As a student, you need to increase your creativity and skills by applying soft skills and hard skills.",0.5423,Positif
"Don't like it, because there will be many companies that prefer to use robots rather than humans",-0.2755,Negatif
Both because of the use of modern technology but still rely on humans as the main component,0.0,Netral
"Very cool, but we have to be smarter than the artificial intelligence.",0.8734,Positif
"in the era of society 5.0, there are many renewable technologies that usually use HR capabilities but are instead replaced with machine technology.",0.0,Netral
In my opinion society 5.0 is an era that will allow humans to use science based on modern technology such as AI and robots which will make it easier for humans to complete work.,0.5719,Positif
"In terms of practicality, it is very beneficial because we can do all activities more easily
But in terms of humanity it will be detrimental because human labor will be replaced by robots.",0.4484,Positif
"The existence of society 5.0 can make development and progress in a country, but to face these challenges requires cooperation between the government and the people within the country.",0.3291,Positif
"Not good, because it can replace the role of humans in doing work",-0.3412,Negatif
I don't agree because many workers/employees will be fired and the unemployment rate will increase because of the arrival of this robotic/artificial intelligence,-0.4956,Negatif
Pretty good,0.7269,Positif
It is very sad because employees or workers will be replaced by robotics where there will be thousands or billions of unemployed people,-0.5256,Negatif
I think it is very good for society to be more advanced in the world of technology by balancing technological progress and problem solving,0.7897,Positif
In my opinion society 5.0 can help humans in increasing their sensitivity to changes and existing technological advances.,0.4019,Positif
"This technological advancement makes it very easy for us, in which today's technology can work quickly and efficiently so that not much time is spent. But it is also necessary to be aware of this era, especially the challenges faced in terms of data security. In facing an era like this, it is necessary for us to consider good and wise things in using technology. So the hope is that with this technological advancement it will not damage diversity, morals, justice and so on.",0.9855,Positif
I think it's very good with society 5.0. because with this it can make it easier for us to store large amounts of data for example.,0.7178,Positif
Appearance as above makes human work will be replaced if it can not adapt.,0.0,Netral
Can,0.0,Netral
"in my opinion regarding this, I do not agree because there will be many jobs that will be replaced by this and will harm people who are in economic difficulties",-0.7789,Negatif
Negative,-0.5719,Negatif
My opinion about the emergence of robotics and all its functions is a good thing because it can help expedite all activities in the world of accounting,0.6808,Positif
"In my opinion, this will greatly affect the performance or accounting profession in the future, this will make many significant changes for accountants",0.2023,Positif
"Negative, because this emergence greatly impacts the possibility of extinction of the accounting profession",-0.5719,Negatif
"In my opinion, the existence of society 5.0 is very influential, especially in the field of accounting because the role of humans can be replaced and jobs will decrease which causes a lot of unemployment",0.0754,Positif
"Negative, because it follows current and future technological developments",-0.5719,Negatif
I really agree if there is a change from robotics and really appreciate it,0.699,Positif
Very helpful,0.4754,Positif
"In my opinion, the development of technology itself is inevitable. But basically, artificial intelligence cannot be separated from the role of humans themselves. It's good that technology continues to be developed and updated, but don't forget that humans are also the root and trigger for the use of this technology. Humans should not lose or give up just like that and continuously learn about existing developments so that they are not easily left behind.",0.9271,Positif
"Good, technological advances are growing, and eliminating the accounting profession. An accountant can choose another profession or job that can encourage & take advantage of these technological advances.",0.836,Positif
"In my opinion, this era is very helpful in terms of daily activities and in terms of business, but it also has a less impact on some social groups who have low education or are less educated.",-0.154,Negatif
Society 5.0 can help balance people and solve problems in the real and virtual worlds. And help lighten the job that was initially difficult to be a little easier,0.5434,Positif
"Along with the times, various technological concepts also developed rapidly. One of them is the concept of society 5.0 which was first initiated by the Japanese state. This concept aims to facilitate human needs with the use of modern technology-based science. For example Artificial Intelligence (AI), Internet of Things (IoT), and robots. The term Society 5.0 itself has only become popular since 2 years ago, on January 21 2019 to be precise. This term is a development of the industrial revolution 4.0 or Society 4.0. This is why the two concepts do not have much difference. It's just that, both have a different focus. The industrial revolution tends to be a concept that facilitates human life with AI as the main component. While Society 5.0 is the use of modern technology, it still relies on humans as its main component. With humans as the main component, this concept will create a technological development that is able to minimize the gap in humans. This is almost the same as the concept that Marketing 5.0 stretches. Where Marketing 5.0 combines technology and humanity or the role of humans.",0.7906,Positif
Society 5.0 is a human-centered society concept proposed by Japan to balance solutions to social problems and economic progress through an integration system between cyber and physical worlds.,0.2023,Positif
a concept of society proposed by Japan with human-centeredness to balance solutions to social problems and economic progress through an integration system between cyber and physical worlds.,0.2023,Positif
"society 5.0 or society 5.0 is a society that can solve various challenges and social problems by utilizing various innovations that were born in the era of the industrial revolution 4.0. Examples are Internet on Things, Artificial Intelligence, Big Data, and robots to improve the quality of life. This concept is a refinement of various previous concepts. Starting from Society 1.0 where humans are in the era of hunting and know writing. Then Society 2.0 which is the era of agriculture, where people have started farming. Society 3.0 has entered the industrial era, when humans have used machines to help with activities. As well as Society 4.0 or industrial revolution 4.0, where humans are familiar with computer technology to the internet. Now, Society 5.0 comes with the concept that all technology is part of humans themselves. This means that the internet is not only useful for sharing information and analyzing data, but also for living life. Thus, a balance will be created between the role of humans (society) and the use of technology.",0.7781,Positif
"With the existence of Society 5.0, it can balance economic progress and solving problems that are dispersed in cyberspace",0.3612,Positif
I don't think it's good because intelligence is not made up but intelligence grows in oneself,0.6702,Positif
"In my opinion, this emergence is very influential",0.4927,Positif
"In my opinion, Society 5.0 achieves a high level of convergence between virtual space and real space. In the previous 4.0 society, humans would access cloud services (databases) in cyberspace via the Internet. They will search, retrieve, and analyze existing information or data. Meanwhile, in society 5.0, a large amount of information from sensors in physical space is accumulated in cyberspace. Later, this large amount of data (big data) will be analyzed by artificial intelligence (AI).",0.4767,Positif
"Along with the times, various technological concepts also developed rapidly. One of them is the concept of society 5.0 which was first initiated by the Japanese state. This concept aims to facilitate human needs with the use of modern technology-based science. For example Artificial Intelligence (AI), Internet of Things (IoT), and robots. The term Society 5.0 itself has only become popular since 2 years ago, on January 21 2019 to be precise. This term is a development of the industrial revolution 4.0 or Society 4.0.",0.7096,Positif
I think society 5.0 really helps us in maximizing the use of technology,0.4391,Positif
Agree,0.3612,Positif
"According to me
Society 5.0 achieves a high degree of convergence between virtual space and real space. In the previous 4.0 society, humans would access cloud services (databases) in cyberspace via the Internet. They will search, retrieve, and analyze existing information or data. Meanwhile, in society 5.0, a large amount of information from sensors in physical space is accumulated in cyberspace. Later, this large amount of data (big data) will be analyzed by artificial intelligence (AI). Then the results of the analysis and processing of the data will be fed back to humans in physical space in various forms. In simple terms, society 4.0 is about gathering information through the network and analyzing it. However, in Society 5.0, humans and systems will be connected in cyberspace and get the most out of it with the help of AI. The results will then be fed back to the physical space (real space). This process certainly brings new value to industry and society. And affect various aspects of human life. Both in the industrial world, production processes, decision making and forecasting, marketing or marketing strategies, and so on.",0.8625,Positif
"in my opinion society 5.0 is all the concepts of society that will be replaced by technology to meet daily needs, and centered on humans collaborating with technology",0.0,Netral
a concept of society proposed by Japan with human-centeredness to balance solutions to social problems and economic progress through an integration system between cyber and physical worlds.,0.2023,Positif
"Society 5.0 with robotic big data and artificial intelligence has great potential to bring positive changes to our lives. However, it is important for us to carefully consider the impact and implications of these developments in ensuring that these developments actually help improve the overall quality of life.",0.9628,Positif
a concept that enables humanity to use modern technology-based science such as AI and robots to meet needs and make human life easier,0.4215,Positif
"In my opinion, a concept of society proposed by Japan with human-centeredness to balance solutions to social problems and economic progress through an integration system between cyber and physical worlds.",0.2023,Positif
"society 5.0 is a society that can solve various social challenges and problems by utilizing various innovations that were born in the era of the industrial revolution 4.0. Examples are Internet on Things, Artificial Intelligence, Big Data, and robots to improve the quality of life. This concept is a refinement of various previous concepts. Starting from Society 1.0 where humans are in the era of hunting and know writing. Then Society 2.0 which is the era of agriculture, where people have started farming. Society 3.0 has entered the industrial era, when humans have used machines to help with activities. As well as Society 4.0 or industrial revolution 4.0, where humans are familiar with computer technology to the internet. Now, Society 5.0 comes with the concept that all technology is part of humans themselves. This means that the internet is not only useful for sharing information and analyzing data, but also for living life. Thus, a balance will be created between the role of humans (society) and the use of technology.",0.7781,Positif
"In my opinion, this concept aims to facilitate human needs with the use of modern technology-based science. For example Artificial Intelligence (AI), Internet of Things (IoT), and robots.",0.4767,Positif
"In my opinion, it is a concept of society proposed by Japan that is human-centered to balance solutions to social problems and economic progress through an integration system between cyber and physical worlds.",0.2023,Positif
"In my opinion, of course, it is very beneficial because this concept aims to facilitate human needs by using modern technology-based science.",0.4927,Positif
"What is Artificial Intelligence?
Machine Learning and Deep Learning
Get started with Amazon AI Services
AmazonAI
Machine Learning
Deep Learning
Artificial intelligence (AI) is a field of computer science devoted to solving cognitive problems commonly associated with human intelligence, such as learning, problem solving and pattern recognition. Artificial Intelligence, often abbreviated as ""AI"", may connote robotics or futuristic scenes, Artificial Intelligence (AI) surpasses science fiction robots, into modern advanced computer science non-fiction. Professor Pedro Domingos, a leading researcher in this field, describes the ""five tribes"" of machine learning, consisting of symbolic, derived from logic and philosophy; connectionists, who have their origins in neuroscience; evolutionary, relating to evolutionary biology; Bayesian, related to statistics and probability; and analogies derived from psychology. More recently, advances in statistical computational efficiency have made Bayesian successful in advancing the field in a number of areas, called ""machine learning"". Likewise, advances in network computing have led connectionists to expand into a subfield called ""deep learning"". Machine learning (ML) and deep learning (DL) are fields of computer science that stem from the discipline of Artificial Intelligence.",0.9839,Positif
"Starting from Society 1.0 where humans are in the era of hunting and know writing. Then Society 2.0 which is the era of agriculture, where people have started farming. Society 3.0 has entered the industrial era, when humans have used machines to help with activities. As well as Society 4.0 or industrial revolution 4.0, where humans are familiar with computer technology to the internet. Now, Society 5.0 comes with the concept that all technology is part of humans themselves. This means that the internet is not only useful for sharing information and analyzing data, but also for living life. Thus, a balance will be created between the role of humans (society) and the use of technology.",0.6245,Positif
"Overall it looks like technology that helps humans in doing work, but on the other hand it needs to be deeply realized that these things also threaten human existence in the workforce.",0.5346,Positif
I think it's quite good because the emergence of these data provides clear evidence that the country is developing.,0.6997,Positif
"The emergence of big data, robotics and artificial intelligence is a new innovation along with the development of the times, everything can be done easily, but with this technology it can narrow employment opportunities",0.7876,Positif
I think the existence of artificial intelligence makes humans lazy and dependent on AI,0.1531,Positif
To ease,0.3612,Positif
Simplify,0.0,Netral
society 5.0 is an era that must be utilized and managed properly in order to create effective and efficient technology without changing the order and main role of humans as the main control,0.7906,Positif
"In my opinion, the presence of Society 5.0 makes it easier for various activities or professions",0.4215,Positif
"Of course, with the existence of ero society 5.0, the world is growing and moving fast.
We are helped by many technologies, one of which is AI and the presence of internet technology in the midst of society is not only useful for sharing information or for analyzing data.",0.2718,Positif
Society 5.0 greatly helps people or makes things easier for people in their daily lives,0.6901,Positif
"good, depending on human adaptation in adjusting to technological tools",0.4404,Positif
helpful but also terrible,-0.5023,Negatif
The emergence of the 5.0 era can help humans to make work easier,0.6705,Positif
this era will degrade humans in mindset and performance. then humans are required to be more aware of technological developments and practices (experts respectively),-0.128,Negatif
