"Menurut Anda, apakah muncunya society 5.0 berdampak pada semua bidang profesi akibat adanya big data, robotic dan kecerdasan buatan?",Compound_Score,Sentiments
"Yes, because overall the emergence of society 5.0 has brought significant changes to various fields of profession because some jobs can be replaced with robotic systems that no longer require human labor.",0.3182,Positif
"Certain. Everything that is done manually, will be done by the machine. Although in the future the machines will still need human supervision, there are only a few people.",0.2732,Positif
"probably yes, because it affects technological developments",0.4019,Positif
"Yes, the emergence of society 5.0 will have an impact on several areas of the profession, for example the emergence of robots that can replace human labor so that it can cause some to be unemployed because they are replaced by robots.",0.4019,Positif
"for sure, because all professions now also use IT, yes, although not all, but most of them have been replaced by robots or computer programs",0.3612,Positif
"Yes, but in my opinion, not all the tasks of an accountant can be taken over by robotics and artificial intelligence",0.7184,Positif
There is a possibility yes,0.4019,Positif
Of,0.0,Netral
Not everything exists as a profession that cannot be replaced by robots,0.0,Netral
"Not in all fields, but of course there are professions that benefit and are disadvantaged as a result of the Society 5.0 era. However, this provides challenges in various professional fields so that they can balance with the era of society 5.0",0.2263,Positif
I don't think it's all because it's not a thorough thing,0.0,Netral
with the emergence of society 5.0 it may have an impact on all professions but society 5.0 will not be able to replace all existing professions,0.0,Netral
"focuses on the application of high technologies such as IoT and AI to increase efficiency and productivity in various sectors, as well as reduce the negative impact on the environment and help achieve sustainable development goals.",0.5994,Positif
"The emergence of society 5.0 can have an impact on all fields, not only in the field of accounting or accountants.",0.0,Netral
It could be that the accounting profession will be affected,-0.1531,Negatif
"quite an impact, especially for professional fields that rely on technology",0.0,Netral
"In my opinion, society 5.0 will greatly impact all areas of the profession, maybe there will be some professions that will be replaced but not completely, so will new jobs emerge later.",0.0,Netral
"yes, everything will have an impact",0.4019,Positif
"yes, it will have an impact",0.4019,Positif
"I think yes, because there are definitely a lot of jobs that will be replaced by robotics and the like",0.7845,Positif
"Yes it is very impactful, with robotics all work will become easier and human resources are less needed.",0.6705,Positif
"the emergence of Society 5.0, which combines digital technology with everyday life, including big data, robotics, and artificial intelligence, is expected to have a significant impact on various fields of the profession.",0.5994,Positif
"Yes, it has an impact because the existence of the era of society 5.0 has replaced human resources with robotics or artificial intelligence which has increased unemployment",0.6124,Positif
"It seems that it is very influential in all fields because it's not just about big data, now we can track everything ourselves through the so-called budget, and it has a very negative impact on accounting",-0.2023,Negatif
"Yes, because of society 5.0, jobs have shifted to machines, applications, and robotics.",0.4019,Positif
It has an impact,0.0,Netral
"Yes, the emergence of Society 5.0 with big data, robotics and artificial intelligence has great potential to impact all fields of the profession. These technological advances have changed the way we work, interact and operate",0.872,Positif
"In my opinion, the impact of the emergence of society is that many slaves to certain professions are no longer in demand because they have been replaced by robots.",-0.1531,Negatif
Of,0.0,Netral
"It could have an impact, due to the emergence of society, for example in the world of work, besides we compete with humans, we also compete with robots",0.0,Netral
"Maybe yes, except for professions that can overcome the emergence of society 5.0",0.4019,Positif
I think yes because they affect each other,0.4019,Positif
"In Society 5.0, the world of work is undergoing major changes due to the development of technology and innovation. AI and automation technologies are playing a critical role in transforming jobs and ensuring that workers have the skills needed to cope with these changes and will certainly impact all areas that will be replaced by robots",0.6808,Positif
"Society 5.0 will definitely have an impact on all areas of the profession because technology plays an important role in a job, which can improve the skills of workers",0.8126,Positif
"In society 5.0, the world of work is experiencing considerable changes because technology and innovation are also developing rapidly. In the future, everything will be replaced by robotics and artificial intelligence",0.6908,Positif
in,0.0,Netral
"With technology that is increasingly sophisticated and evenly distributed throughout Indonesia, it will definitely have an impact on all areas of the profession, one example is at a Pocari company, the process of making a drink no longer requires the intervention of labor, everything is done by machines (technology) that advanced.",0.7269,Positif
"Yes, because gradually the development will be further improved. And many big countries like Japan have implemented robotics in their daily activities",0.8074,Positif
Can,0.0,Netral
"Yes, it will have an impact especially on the unemployment rate in Indonesia. Because human labor has been replaced by robots. And can reduce the income earned by the people.",-0.1189,Negatif
"I think it's very impactful, because there will be many workers who will be replaced by robots/machines. So that it has an impact on employment and the community's economy.",0.0,Netral
"Yes, of course",0.4019,Positif
Of course,0.0,Netral
Can,0.0,Netral
"Very impactful, especially for HR, most of whom will likely be laid off",0.0,Netral
It has an impact,0.0,Netral
"Maybe most of the professions will be replaced by robots. But there are some professions that will remain, such as the president and vice president.",0.0,Netral
"with the emergence of this era, its influence in the field of human resources, in my opinion there are good and bad. good in the sense that new technology will make it easier for humans to carry out their activities. while it is not good in the sense that human resources will be lazy, and will not hone or improve their own abilities, resulting in incompetent human resources in various fields.",-0.5126,Negatif
"In the era of society 5.0 there are positive and negative impacts, where the positive impact is that it can make it easier for humans to complete work and can meet human needs easily, but the negative impact is that there will be many workers who will lose their jobs because they are replaced with robots so that will cause a lot of unemployment.",-0.8625,Negatif
"Highly impactful, making more efficient, flexible, sustainable and increasing well-being",0.6453,Positif
"Very impactful in all fields both in industry, education and government. With the existence of society 5.0, it can increase efficiency, productivity and service quality by utilizing technology such as big data, robotics and artificial intelligence.",0.7845,Positif
It has an impact because jobs can be taken over by society 5.0,0.0,Netral
It could be,0.0,Netral
Not in all professions,0.0,Netral
It has an impact,0.0,Netral
"In my opinion, it has a great impact on all professions because it has overall benefits",0.7717,Positif
Impact,0.0,Netral
"Yes. Because with this technological advancement there can be changes in roles and tasks. Tasks that are usually done by humans manually can be done by artificial intelligence automatically. As for the current human workforce, what is still needed are tasks that focus on critical thinking, decision making, and so on.",0.5423,Positif
In my opinion not all fields. For example in the field of accounting. That some jobs in accounting are not all done by artificial intelligence. For example in the analysis of financial data. It also uses human power,0.4767,Positif
Can,0.0,Netral
Can,0.0,Netral
agree,0.3612,Positif
Neutral,0.0,Netral
"In my opinion, the emergence of society 5.0 certainly has an impact on all fields.",0.34,Positif
I think it's very influential because this can shift the position of accountants who will be replaced by robots in the future,0.4927,Positif
Negative,-0.5719,Negatif
"In my opinion, the emergence of society 5.0 has had an impact on all areas of the profession, large factories have used robots in the production process, administration applications, marketplaces and e-commerce have also affected all professional fields.",-0.1531,Negatif
Negative,-0.5719,Negatif
"In my opinion, it doesn't have any impact, but with robotics, we can learn new things from robotics",0.0,Netral
No impact at all,-0.296,Negatif
"Impact. Whether seen from a positive or negative value, artificial intelligence clearly has an impact on all fields of the profession.",0.7964,Positif
"No, because some fields of profession are drivers of big data, robotics and artificial intelligence.",0.4767,Positif
"Yes, this era can have an impact on all professions if it continues to be developed.",0.4019,Positif
"Yes, several professional fields will have an impact with the emergence of society 5.0 because at this time many professional fields have been replaced by robotics or artificial intelligence.",0.7003,Positif
"In the industrial revolution 4.0, manufacturing technology has entered the trend of automation and data exchange. This includes cyber-physical systems, internet of things (IoT), cloud computing, and cognitive computing. With the birth of digital technology today in the industrial revolution 4.0 it has an impact on human life throughout the world.",0.0,Netral
to balance solutions to social problems and progress,0.2023,Positif
The existence of technology in society really needs it because it is very important for everyone,0.2716,Positif
"Starting from severe international competition, to social inequality that continues to increase. This is where there is a need for real action to solve these social problems. However, achieving economic development and solving social problems at the same time has proved difficult in the current social system. However, the presence of the concept of society 5.0 also has a positive impact on solving social problems as well as economic development. In facing major changes in the world and digital transformation, the emergence of technologies such as AI, IoT, robotics, machine learning, and data processing can facilitate human life. This concept helps in increasing production and reducing unemployment, supporting sustainable industrialization, redistributing wealth, and reducing social inequality. That way, society 5.0 can realize the achievement of economic development and solutions to social problems in parallel.",0.6369,Positif
Not all,0.0,Netral
Yes impact,0.4019,Positif
"In my opinion, yes it has an impact",0.4019,Positif
"Society 5.0 comes with the concept that all technology is part of humans themselves. This means that the internet is not only useful for sharing information and analyzing data, but also for living life. Thus, a balance will be created between the role of humans (society) and the use of technology.",0.4013,Positif
"Society 5.0 achieves a high degree of convergence between virtual space and real space. In the previous 4.0 society, humans would access cloud services (databases) in cyberspace via the Internet. They will search, retrieve, and analyze existing information or data. Meanwhile, in society 5.0, a large amount of information from sensors in physical space is accumulated in cyberspace. Later, this large amount of data (big data) will be analyzed by artificial intelligence (AI).",0.4767,Positif
"yes, society 5.0 has an impact on all professions including the field of accounting",0.4019,Positif
"Has a negative impact, but can help HR",0.296,Positif
"Society 5.0 Balancing Economic Development and Solving Social Problems The influence of the concept of society 5.0 apparently made quite significant changes when the Japanese state implemented it. Because along with economic growth, people's lives become prosperous and comfortable. The demand for energy and foodstuffs has also increased, and people's lives have become longer. Previously, Japan faced various social problems along with advanced economic globalization. Starting from severe international competition, to social inequality that continues to increase. This is where there is a need for real action to solve these social problems. However, achieving economic development and solving social problems at the same time has proved difficult in the current social system. However, the presence of the concept of society 5.0 also has a positive impact on solving social problems as well as economic development. In facing major changes in the world and digital transformation, the emergence of technologies such as AI, IoT, robotics, machine learning, and data processing can facilitate human life. This concept helps in increasing production and reducing unemployment, supporting sustainable industrialization, redistributing wealth, and reducing social inequality. That way, society 5.0 can realize the achievement of economic development and solutions to social problems in parallel. Also Read: Society 5.0 vs Industry 4.0, What's the Difference? Green Marketing as a Sustainable Marketing Concept in the Era of Society 5.0 Examples of Society 5.0 in Various Fields Society 5.0 or society 5.0 is a concept that is applied in various fields. Ranging from mobility, health, manufacturing, agriculture, energy, food supply, to natural disaster prevention. For more details, here are some examples of the implementation of society 5.0 that you can understand: New Values ​​in the Field of Mobility With the adaptation of society 5.0, new values ​​will be created in the field of mobility. An example is the application of big data analysis in a data warehouse that includes various types of information. For example, sensor data from cars, real time information about weather, traffic, and accommodation. This analysis will make it easier for humans in terms of mobility. An example is selecting the fastest route when heading to a location point, to the estimated congestion.",0.9741,Positif
with the existence of this technology so that it greatly impacts our field of profession,0.0,Netral
economy,0.0,Netral
"Of course the emergence of Society 5.0 with big data robotics and artificial intelligence has had a significant impact on various professional fields. These developments bring about changes in the way we work interact and adapt to new technologies.

In the medical field, for example, big data can be used to analyze patient medical information in real-time, predict disease and develop more effective treatments. Robotics can also be used in surgeries that are more accurate and minimally invasive, speeding up the recovery process and providing remote care via telemedicine",0.8883,Positif
"It is very impactful for humans, especially for an accountant, and may lose his job.",-0.4019,Negatif
"requires everyone to be more creative, innovative, productive, adaptive and also competitive",0.7947,Positif
"Society 5.0 or often called society 5.0 is a concept initiated by the Japanese government. The concept of society 5.0 is not only limited to manufacturing factors but it can also solve various social problems with the help of the integration of physical and virtual spaces (Skobelev & Borovik, 2017). The concept of Society 5.0 is big data technology, this concept was collected by the Internet of things (IoT) (Hayashi) and then changed by Artificial Intelligence (AI) (Rokhmah, 2019) (zdemir, 2018) so that it becomes something that can help society and make life more better (Mathews, 2015). The impact of society 5.0 or what is commonly called society 5.0 will be felt in all aspects of life, from health, urban planning, transportation, agriculture, industry and education.",0.9385,Positif
"Scoiety 5.0 is a concept of life order that is still very new to people's lives. Through the concept of society 5.0, people's lives are expected to be more comfortable and sustainable. Humans will get or be provided with products and services in the amount and time needed. In the era of society 5.0",0.5563,Positif
"I don't think so
Because with humans as the main component, this concept will create a technological development that is able to minimize the gap in humans.",0.2732,Positif
can help humans in doing tasks that are time-consuming and monotonous work.,0.4019,Positif
Very impactful,0.0,Netral
"What is Artificial Intelligence?
Machine Learning and Deep Learning
Get started with Amazon AI Services
AmazonAI
Machine Learning
Deep Learning
Artificial intelligence (AI) is a field of computer science devoted to solving cognitive problems commonly associated with human intelligence, such as learning, problem solving and pattern recognition. Artificial Intelligence, often abbreviated as ""AI"", may connote robotics or futuristic scenes, Artificial Intelligence (AI) surpasses science fiction robots, into modern advanced computer science non-fiction.",0.9601,Positif
"a fundamental change in the way of human life and work processes, where advances in information technology can integrate the digital world of life which can have a disciplinary impact.",0.0,Netral
"Yes, it's true, it has an impact on all fields of the profession, except in agriculture for work in the field, it doesn't seem like it's seen much significantly.",0.5252,Positif
"In my opinion, the impact is quite large. But not all of them can be influenced.",0.0,Netral
"It doesn't have an impact on all areas of the profession, but more will be affected",-0.3172,Negatif
"There are positive and negative impacts of course. this makes it easier for us to do work in the professional field. for example, there is a financial application that makes it easy to make financial reports in running the application, you definitely need an accountant who understands financial reports and of course who understands how to operate them.",0.8074,Positif
No impact,-0.296,Negatif
Not completely but will transition,0.0,Netral
I think it's very impactful in all areas,0.0,Netral
"yes, in my opinion the impact of society 5.0 can shift the workforce",0.4019,Positif
"I think yes, because of this, society can balance economic progress and solving human problems that are integrated with virtual and real worlds. So that work can be done quickly and precisely",0.6369,Positif
"In my opinion, yes, because all fields are supported by developed technology that can make it easier for humans, but not all regions can apply it",0.5267,Positif
not really,0.0,Netral
right,0.0,Netral
"the existence of big data may have an impact on all professions, to exchange information quickly and confidentially. but for robotics and AI, not all professions can be assisted by using robotics and AI",0.0,Netral
"right, especially in the field of professional work",0.0,Netral
