"Menurut Anda, apakah adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi robotic, big data dan kecerdasan buatan dalam aktifitasnya?",Compound_Score,Sentiments
"Yes, the disruption in the accounting profession has encouraged the use of robotic technology, big data and artificial intelligence in daily activities",0.7003,Positif
"In my opinion, disruption is of great interest to companies because it can be more effective and efficient.",0.9013,Positif
"Most likely, because with the existence of technology, work can be completed effectively and efficiently",0.6808,Positif
"Yes, so with this disruption in the accounting profession, humans, for example, heads of companies will create artificial intelligence in their activities to make it easier if needed.",0.7576,Positif
Maybe it's because if there is a disruption in the field of the accounting profession it is likely to result in unwanted things such as reduced interest in the accounting profession so that there is a possibility of switching to using technology,-0.1027,Negatif
"Yes, because using robotic technology, big data and artificial intelligence is more effective",0.8479,Positif
"The main challenge for the accounting profession in facing this digital era is the mastery of technology. This challenge is a vital challenge that must be faced, because in the digital era technology has become a close friend of all activities",0.7488,Positif
This is a challenge for the accounting profession. The accounting profession must be able to prove that technology cannot replace the profession,0.0772,Positif
The most visible challenge for accountants in the increasingly advanced digital era is technology mastery.,0.3774,Positif
"Applications in accounting are needed by companies. I studied what is called an Accounting Information System, which is an application in which there is information about existing reports within the company, starting from financial statements, inventories, etc. Sophisticated technology will certainly facilitate the activities of accountants in the company. The initial basis for inputting the application must be correct because it will affect the amount of data and reports at the end.",0.7184,Positif
"Along with the development of the times, yes, but still the field of accounting cannot be separated from the role of humans as the main character",0.2144,Positif
Can,0.0,Netral
"Yes, maybe also because of the effectiveness of time, the ease of using the robot, saving money that should pay employees every month, only the cost of maintaining the robot, which may be once a year, and so on.",0.5859,Positif
"Yes, because it will make work more effective and efficient",0.8464,Positif
may be,0.0,Netral
Maybe,0.0,Netral
It could be,0.0,Netral
It could be,0.0,Netral
Can,0.0,Netral
Can,0.0,Netral
"yes, because accountants are better off using new technology, but in that system or technology, there must be human resources that interact with each other or are continuous in it, even though there is a system if the accountants don't manage it properly, the system will operate and be useless.",-0.2263,Negatif
"Yes, in that era the accounting profession will use more robotic technology, where the human workforce to prepare financial reports will be replaced by machine workers through sophisticated applications.",0.743,Positif
"Yes, because in the next 5 years all work normally done by humans will be replaced by robots.",0.4019,Positif
"Seeing from this disruption, there will definitely be a lot of use of robotic technology, big data and artificial intelligence in their activities because accountants can manage transactions quickly and accurately.",0.4451,Positif
Yes,0.4019,Positif
It could be,0.0,Netral
Chances are yes,0.5423,Positif
"Yes, because the more advanced technology, the more companies or jobs will be transferred to robotic technology. In recent years, various media have presented information about professions and jobs where humans have a diminishing role. The main reason is related to the development of information technology, robots, computerization, and other automation.",0.6115,Positif
"Yes, it makes it easier for workers to do work quickly",0.6705,Positif
No,-0.296,Negatif
"Of course yes. Advances in technology can change the way things work in the field of accounting, which makes it possible to make more informed decisions. So it is necessary to use technology for an accountant to remain relevant and provide added value for good performance.",0.7906,Positif
Can,0.0,Netral
Can,0.0,Netral
yes agree,0.6369,Positif
Positive,0.5574,Positif
"If you look at it from the point of view of the big 2 companies, of course it will definitely be used more, but a tool certainly has its own drawbacks.",0.6059,Positif
"Maybe some will be like that but back to ourselves ""the more we believe we are capable of us then we will not be replaced",0.631,Positif
Negative,-0.5719,Negatif
"I think yes because the data is neater, safer and connected to each other",0.7579,Positif
"Negative,",-0.5719,Negatif
If indeed there is robotics that makes us change in the future then I will support robotics,0.4019,Positif
Ia,0.0,Netral
It could be. Because artificial intelligence was formed with the aim of making it easier for its users.,0.7096,Positif
"It could be, because of the increasingly advanced technology, the job of an accountant will be made lighter.",0.25,Positif
"Neutral because there are positive and negative impacts, especially within companies or agencies",-0.0258,Negatif
"Yes, because at this time accounting graduates are inferior to vocational graduates because in the accounting field many have implemented artificial applications that are not difficult to input data",0.2755,Positif
"various industrial sectors, developments in information technology, robots, computers, and online media have replaced the role of the human workforce. As reported on various websites such as Forbes, USA Today, Money, the Guardian, Business Insider, World Economic Forum (WEF), there have been major changes in various industries caused by technological advances, such as print media (newspapers), video sales and rental and cd, bookstores, banking, real-estate agents etc (USA Today 2018). Companies engaged in the industry have massively reduced the number of their workers/employees. They also carry out various innovations by applying the latest technology in order to win competition in business. The following is a summary of various sources that report and predict current and future workforce needs.",0.7783,Positif
"the accounting profession will not disappear and is still very much needed. In fact, accountants are in",0.1695,Positif
The accounting profession must improve in the field of technology,0.4404,Positif
"In recent years, various media have presented information about professions and jobs where humans have a diminishing role. The main reason is related to the development of information technology, robots, computerization, and other automation. Such information is reported and published by The Guardian, World Economic Forum, McKinsey Global Institute (MGI), Business Insiders, Forbes, USA Today, Money, Barclays, etc. (Guardian 2018; WEF 2018; Business Insider 2018; USA Today 2018; Barclays 2018; Money 2018; Forbes 2018). On the one hand, professions and occupations such as cashiers, bank employees, production and manufacturing are decreasing, while on the other hand professions and occupations such as software engineer, nutritionist, surgeon, finance and business, mathematics and computers, agriculture, etc. increase. What about the accounting profession? Among existing publications, Business Insider states that the work of accountants and auditors will be taken over by robots/computers in the next 20 years. Graph 1 below shows that the percentage is likely that the work and profession of accountants and auditors will be taken over by robots/computers, with a 94% probability that is certain and is in second place after telemarketers (Business Insider 2018).",0.8689,Positif
Yes there is,0.4019,Positif
"The era of big data has had a significant impact on the accounting profession, for example, the accounting profession must increase competence in the field of digital technology in order to optimize the use of big data assets owned by companies.",0.7906,Positif
"In my opinion, no",-0.296,Negatif
"The accounting profession is considered to still exist today. In order to be able to adapt to the increasingly sophisticated era of digital transformation, an accountant needs to upgrade his quality.",0.5574,Positif
"In my opinion, it is easier to use",0.4215,Positif
"yes, the disruption has made the accounting profession use more technology and artificial intelligence, for example myob, accurate, zahir etc",0.5106,Positif
Need,0.0,Netral
"Along with technological developments, disruption will indeed continue to occur in various fields, including in the accounting profession. This disruption has forced the accounting profession to adapt to increasingly sophisticated and evolving technology.

The use of robotic technology, big data and artificial intelligence in accounting activities is no longer a stranger and is increasingly being used by accounting professionals. The use of this technology allows accounting experts to do their work more quickly, precisely and efficiently.

However, even though technology is always developing and being used in accounting activities, human existence is still important, because special aspects such as ethics, decision making, and interpretive judgments require human involvement. Therefore, technology can only help reduce workload and increase human productivity in their work and not completely replace it.",0.8087,Positif
"With changes in the field of accounting profession, all changes will be made using technology",0.0,Netral
the accounting profession must improve competence in the field of digital technology in order to optimize the use of big data assets owned by companies,0.7783,Positif
"Yes, the disruption in the field of accounting will encourage the use of big data robotic technology and artificial intelligence in the activities of the profession. In managing financial data, big data technology enables accountants to collect, process and analyze large volumes of data more efficiently. This can assist them in making more accurate financial reports and identifying relevant patterns in the data.",0.8622,Positif
An accountant will be required to have more competence and skills in technology.,0.0,Netral
accountants must improve competence in the field of digital technology in order to optimize the use of big data assets owned by companies.,0.7783,Positif
"present information through about professions and jobs where humans have a diminishing role. The main reason is related to the development of information technology, robots, computerization, and other automation. The information is reported and published by The Guardian, World Economic Forum, McKinsey Global",0.0,Netral
The technology used by the profession is highly digital,0.0,Netral
the accounting profession must improve competence in the field of digital technology in order to optimize the use of big data assets owned by companies;,0.7783,Positif
"Information about professions and occupations that have experienced a decline in the role of humans has often been presented by many media in recent years. The growth of robotic technology, computerization, information and other automation has become the main cause.",0.3818,Positif
I think there will be more use of robotic technology,0.0,Netral
"What is Artificial Intelligence?
Machine Learning and Deep Learning
Get started with Amazon AI Services
AmazonAI
Machine Learning
Deep Learning
Artificial intelligence (AI) is a field of computer science devoted to solving cognitive problems commonly associated with human intelligence, such as learning, problem solving and pattern recognition. Artificial Intelligence, often abbreviated as ""AI"", may connote robotics or futuristic scenes, Artificial Intelligence (AI) surpasses science fiction robots, into modern advanced computer science non-fiction. Professor Pedro Domingos, a leading researcher in this field, describes the ""five tribes"" of machine learning, consisting of symbolic, derived from logic and philosophy; connectionists, who have their origins in neuroscience; evolutionary, relating to evolutionary biology; Bayesian, related to statistics and probability; and analogies derived from psychology. More recently, advances in statistical computational efficiency have made Bayesian successful in advancing the field in a number of areas, called ""machine learning"".",0.9774,Positif
"Instantly, many parties justified the publication because part of the accountant's role had been replaced by the role of (information) technology. For some others, it doesn't necessarily justify the publication.
      For example, Barclays mentions Jobs are changing, not disappearing (Barclays 2018).",0.6597,Positif
"Yes, there are many implications, money counting machine technology, economic fintech, automatic journaling programs, screening, and many other things.",0.4019,Positif
No,-0.296,Negatif
"Yes, it's true, because in an advanced era, it will certainly follow its development, and will continue to compete",0.836,Positif
some yes and some no,0.128,Positif
Yes agreed,0.5859,Positif
It will make it easier of course,0.4215,Positif
"The disruption in the accounting profession has made the profession use more robotic technology, big data and artificial intelligence in its activities. Even so, the accounting profession cannot completely depend on technology, this profession still requires human skills who are experts in this field to manage and produce technology that is in accordance with professional standards.",0.1531,Positif
"yes, because society 5.0 is indeed a sophisticated tool that can easily shift the accounting profession",0.8271,Positif
"Indeed, yes, but we must take advantage of it to be more advanced and able to work smart, fast and precisely. We have to study how the technology works so that we can take advantage of the technology",0.907,Positif
Maybe so,0.0,Netral
can,0.0,Netral
sure,0.3182,Positif
"if there is a disruption, it is likely that the accounting profession will seek a way out, especially in AI. with the existence of AI, the processing of data sourced from big data can be resolved properly",-0.2023,Negatif
"Currently there is a remote audit, and audit data is well organized. Not only that, accounting software is advanced in organizing information from various work divisions. commercial related to finance, finance related to accounting and taxes, all divisions related to internal audit, that's why one technological device can eliminate human resources.",0.4767,Positif
