"Menurut Anda, apakah profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi?",Compound_Score,Sentiments
"In my opinion, the accounting profession will be one of the professions that will be affected by the disruption.",-0.4767,Negatif
Can,0.0,Netral
"Yes, because the accounting profession is closely related to important data",0.5423,Positif
"maybe there will be significant changes in the accounting profession, but in my opinion, society 5.0 will not be completely replaced, but will make the accounting profession easier.",0.6249,Positif
can,0.0,Netral
can,0.0,Netral
"Yes, for example, currently there are many applications and artificial intelligence that have helped the accounting profession",0.7003,Positif
"Yes, because now there are many applications that help the accounting profession to make financial reports.",0.6597,Positif
"Yes, the accounting profession has experienced disruption in recent years. Developments in technology and automation have changed the way accountants work and are impacting the field as a whole.",0.0516,Positif
Yes,0.4019,Positif
"yes, it has an effect, because in the current era of Society there are a lot of accountants who usually do bookkeeping manually but in this era of society they already use applications, such as accurate, mayob and others",0.2144,Positif
can,0.0,Netral
"No, because the accounting profession is in demand by many people, and in any field related to accounting",-0.128,Negatif
"Yes, the accounting profession can face disruption as a result of technological developments such as big data, artificial intelligence, and process automation. These developments have changed the way accounting work is done and provided new challenges and opportunities for accounting professionals.",0.7351,Positif
I think so,0.0,Netral
"Yes, because it relates to the preparation of LK",0.4019,Positif
"Basically the accounting profession will not be disrupted, because the role of accounting in a report is very important",0.2716,Positif
"No, because the accounting profession is currently in great demand by many people",0.5574,Positif
"In my opinion not everything can be replaced with machines and technology, it is believed that the accounting profession will remain relevant in this era",0.0,Netral
"Actually, the role of accountants will not be completely replaced by artificial intelligence (AI), but the role of accountants will only shift. However, an Accountant will be completely replaced by AI if he does not improve his skills, especially skills in the field of technology.",-0.2638,Negatif
The accounting profession cannot be completely replaced by technology because using this technology still requires the skills of accountants,0.0,Netral
"for the role of accountants themselves will not be completely replaced by AI, it does not mean that accountants just disappear, but only shift. but if accountants don't hone their skills, they will gradually be replaced by AI",-0.1154,Negatif
in,0.0,Netral
Can,0.0,Netral
"Maybe yes, maybe not. When viewed from the current technological developments where there are also many accounting applications that provide financial reporting services without being calculated manually by humans, it is possible that accounting disruptions can occur. But it should also be noted that accounting cannot simply be separated from its roots, including the role of humans",0.0387,Positif
Can,0.0,Netral
"It could be, because this is proven by the existence of applications used to make journals, ledgers, financial reports, etc. Therefore, maybe in the future there will also be robots that work on the accounting person's job desk",0.0,Netral
"Yes, because there are already many systems that can calculate and even compile financial reports effectively and efficiently. Such as recording transactions and compiling financial reports replaced by barcode scanning.",0.8074,Positif
may be,0.0,Netral
It could be,0.0,Netral
It could be,0.0,Netral
"It could be, but I don't think so because it still needs to be checked by a competent human being",0.4497,Positif
It could be,0.0,Netral
Can,0.0,Netral
"yes, because over time there are many applications or systems in the accounting profession, which automatically carry out accounting processes, such as in preparing financial reports.",0.4019,Positif
"In my opinion, after seeing the news circulating, it is possible that the accounting profession is also one of the fields affected by the disruption.",-0.4767,Negatif
"Yes, the accounting profession is still very much needed",0.4019,Positif
"the accounting profession is one of the professional fields affected by the disturbances of Society 5.0. Accountants need to adapt to the changes brought about by technological advances and expand their reach in order to remain relevant in the future. To adapt to Society 5.0, accountants need to broaden their competence, vision and understanding of change, as well as maintain good values ​​and ethics.",0.7964,Positif
It could be,0.0,Netral
Of,0.0,Netral
"Possibly yes, but we as prospective accountants will not continue to depend on this",0.2144,Positif
Can,0.0,Netral
"Yes, because disruption is very influential in accounting skills which can eliminate accountant workers due to the emergence of digital-based disruptions",0.2484,Positif
No,-0.296,Negatif
"Yes, the accounting profession is one of the professions that has been disrupted. This is because technological advances present new challenges and opportunities. Therefore it is necessary for an accountant to develop new skills, utilize technology, and become more critical and strategic in facing challenges and taking advantage of the opportunities faced.",0.785,Positif
in,0.0,Netral
No,-0.296,Negatif
No,-0.296,Negatif
yes,0.4019,Positif
Positive,0.5574,Positif
"Yes, in my opinion it is clearly very influential because the emergence of this era certainly offers things that are more efficient, especially in managing finances",0.9199,Positif
Can't,0.0,Netral
"Negative, because many companies already use big data, robotics, and artificial intelligence.",-0.1531,Negatif
"In my opinion, yes, because today's bookkeeping does not need to be complicated to do manually because there are already many accounting applications that make bookkeeping easier, besides that data is also stored more safely and easily traced 10 or 20 years ago",0.8923,Positif
"Positive, because no matter how good the upcoming technology is, HR also has an important role",0.8034,Positif
"Yes, one of them and that needs to be improved so that the changes get better",0.8271,Positif
Not affected by disruption,0.3724,Positif
"Yes, but again, even though there is a lot of technology that can help accountants in inputting data, humans are still the most needed because errors in technology can happen at any time.",0.2274,Positif
"No, because the accounting profession is actually also able to control the system and fix system errors.",-0.34,Negatif
"No, because in my opinion, if there is big data accounting assistance, it still requires an accountant to input, process and make certain decisions",0.2732,Positif
"Yes, because in the next few years, many accounting professions may have been replaced by increasingly more developed technology",0.4019,Positif
"However, it is like a double-edged sword, not only contributing opportunities and benefits, digitization is also gradually disrupting the accounting profession. With the rapid development of technology and the flow of information, internet technology has changed one's view of obtaining information, including in the world of accounting. Technological advances mean that not too many human resources are needed within the company, including accounting staff. This makes the accounting profession not really needed because of technological advances. With the existence of technologies such as robotics and Artificial Intelligence (AI), it is only a matter of time that the control of work normally done by humans will be replaced by robots.",0.7283,Positif
"the accounting profession will not disappear and is still very much needed. In fact, accountants are ranked 13th on the list of best business fields jobs in 2020",0.7065,Positif
The accounting profession will not disappear because accounting is needed,0.1695,Positif
"The need for the accounting profession is evidenced by the election of the Association of Chartered Certified Accountants (ACCA) as 'The Professional Global Body of The Year' in the 2020 Digital Accountancy Forum and Awards (DAF Awards) by The Accountant. ACCA's selection in the 2020 DAF Awards captures the association's global impact through ongoing thought leadership, events and activities",0.8402,Positif
Yes,0.4019,Positif
"I don't think so, because accounting is basically a general agreement to record transactions",0.4939,Positif
I don't think so because the accounting profession will remain relevant,0.0,Netral
"the accounting profession will not disappear and is still very much needed. In fact, accountant is in 13th place in the list of best business field jobs in 2021.4 Feb 2022",0.7065,Positif
"Industrial Revolution 4.0”. In fact, discussions about the industrial revolution 4.0 do not only occur in education and industry circles.",0.0,Netral
"yes, in my opinion the accounting profession is one of the professions that has been disrupted due to robotic technology, big data and artificial intelligence",0.7003,Positif
Of,0.0,Netral
"Technologies such as AI and machine learning can enable faster, automatic and accurate processing of financial data and financial reporting. Nonetheless, the role of the accountant is still needed to interpret financial data and provide advice and recommendations to make good business decisions. Thus, the accounting profession may experience more change and transformation than radical changes due to technological disruption.",0.1027,Positif
It is possible that the accounting profession will be subject to change,0.0,Netral
the accounting profession will not disappear and is still very much needed,0.1695,Positif
"In my opinion, the accounting profession will also be disrupted by technological developments such as big data, robotics and artificial intelligence. This technological development has enabled automation in the collection and processing of financial data as well as in the process of financial reporting.",0.6369,Positif
"Along with the times, it could be uprooted because in the future human power will no longer be used, and will be replaced by technology.",-0.296,Negatif
"Not everything can be replaced by machines and technology, it is believed that the accounting profession will remain relevant in the industrial era 4.0, especially in Indonesia",0.0,Netral
"The industrial revolution 4.0 illustrates that all work will be replaced by robots or machines that have artificial intelligence (AI) systems. Now, some human jobs have indeed been replaced by computers and machines. For example, factory workers, tellers, and jobs related to accounting.",0.4767,Positif
"Because all of these professions cannot be replaced by technological machines, the accounting profession is sure to remain relevant in the industrial era",0.3182,Positif
"Technological disruption in the industrial era 4.0 threatens several existing sciences and professions. However, this does not mean that everything can be replaced by machines and technology, such as accounting and the accounting profession, which will remain relevant in the industrial era 4.0, especially in Indonesia.",-0.6249,Negatif
"The accountant's contribution does not stop at financial reporting, but extends far beyond planning for the future of the company which is supported by the accountant's ability to explore big data, artificial intelligence, and the internet of things.""

MANY parties believe that the era of disruption has eliminated various human professions in the world.",0.9108,Positif
"Yes, one of the professions that has been disrupted",0.4019,Positif
The profession of making modern computers,0.0,Netral
"A war of confidence due to disruption and a pandemic has occurred, one of which is the accounting profession",-0.4767,Negatif
"Yes, the accounting profession is also a field affected by disruption.",-0.1027,Negatif
No,-0.296,Negatif
"It could be yes because accounting itself can be done through digital media which can be transferred to artificial intelligence, robotics, and big data",0.7003,Positif
"No. because accounting is very broad, it is not only limited to compiling financial reports but checking and reporting if there is fraud when preparing financial reports. and many more",-0.7066,Negatif
Yes more use of technology,0.4019,Positif
Transitionally possible,0.0,Netral
The accounting profession is one of the professions affected by the disruption. The development of technology and various forms of accounting and taxation programs.,-0.4767,Negatif
it could be,0.0,Netral
"Maybe yes, but we must be willing and able to adapt to the changes that exist. So that the era of society 5.0 can help us to be able to work more quickly and precisely",0.6597,Positif
It could be because if the accounting records are more accurate and there is less chance of errors,-0.1102,Negatif
No,-0.296,Negatif
sure,0.3182,Positif
No,-0.296,Negatif
right,0.0,Netral
